,code,topic,description,possible_cause,Diagnostic
268,P1507 ," Idle Air Control (IAC) Underspeed Error
",This DTC is set when the powertrain control module (PCM) detects an engine idle speedthat is less than the desired RPM.,"[' IAC circuit open ', ' Air inlet is plugged', ' Damaged or incorrect IAC valve', ' IAC valve stuck closed', ' VPWR to IAC solenoid open', ' IAC circuit short to voltage']", Disconnect the IAC valve and look for little or no change in engine RPM as an indicationof a stuck or damaged valve.
269,P1512 ," Intake Manifold Runner Control (IMRC) Stuck Closed (Bank 1)
"," This DTC is set when the vacuum actuated IMRC is commanded open, but the IMRC monitor indicates closed.","[' IMRC monitor circuit open', ' Suspect IMRC solenoid ', ' Mechanical concern - bind, seize, damage, or obstruction of IMRC hardware']", Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
270,P1513 ," Intake Manifold Runner Control (IMRC) Stuck Closed (Bank 2)
"," This DTC is set when the vacuum actuated IMRC is commanded open, but the IMRC monitor indicates closed.","[' IMRC monitor circuit open', ' Suspect IMRC solenoid ', ' Mechanical concern - bind, seize, damage, or obstruction of IMRC hardware']", Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
271,P1516 ," Intake Manifold Runner Control (IMRC) Input Error (Bank 1)
",   The IMRC system is monitored for failure during continuous or key on engine off (KOEO)   self-test. Each DTC distinguishes the corresponding failed bank for IMRC actuator   assemblies with dual monitor switches. The test fails when the signal is outside an   expected calibrated range.,"[' Mechanical concern - bind, seize, damage, or obstruction of IMRC hardware']", Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
272,P1517 ," Intake Manifold Runner Control (IMRC) Input Error (Bank 2)
",   The IMRC system is monitored for failure during continuous or key on engine off (KOEO)   self-test. Each DTC distinguishes the corresponding failed bank for IMRC actuator   assemblies with dual monitor switches. The test fails when the signal is outside an   expected calibrated range.,"[' Mechanical concern - bind, seize, damage, or obstruction of IMRC hardware']", Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
273,P1518 ," Intake Manifold Runner Control (IMRC) Stuck Open Bank 1
"," This DTC is set when the electrically actuated IMRC is commanded closed, but the IMRC monitor indicates open.","[' IMRC monitor signal circuit shorted to PWR GND or SIG RTN ', ' Damaged IMRC actuator']", Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
274,P1519 ," Intake Manifold Runner Control (IMRC) Stuck Closed Bank 1
","This DTC is set when the electrically actuated IMRC is commanded open, but the IMRCmonitor indicates closed.","[' IMRC monitor circuit open', ' IMRC control circuit open ', ' IMRC monitor circuit short to VREF ', ' IMRC monitor return circuit open ', ' Damaged IMRC actuator ', ' IMRC VPWR circuit open']",Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed.
275,P151A ," Intake Manifold Runner Controller Performance
",   The intake manifold runner control (IMRC) system is monitored for failures. The test fails   when the system detects a loss of bi-directional communication or signal(s) between the   PCM and the IMRC solenoid.,"['IMRC control circuit open', 'Mechanical concern - bind, seize, damage, or obstruction of IMRC hardware ', 'IMRC control circuit short to voltage ', 'IMRC VPWR circuit open ', 'IMRC GND circuit open ', 'Damaged IMRC actuator']", View the IMRCF PID to monitor for a fault.
276,P1520 ," Intake Manifold Runner Control (IMRC) Circuit
",This DTC indicates a failure in the IMRC primary control circuit.,[' IMRC control circuit open'],Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed.
277,P1537 ," Intake Manifold Runner Control (IMRC) Stuck Open (Bank 1)
"," This DTC is set when the vacuum actuated IMRC is commanded closed, but the IMRC monitor indicates open.","[' IMRC monitor signal circuit shorted to PWR GND or SIG RTN', ' Damaged IMRC solenoid ', ' Blocked vacuum hoses']", Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
278,P1538 ," Intake Manifold Runner Control (IMRC) Stuck Open (Bank 2)
"," This DTC is set when the vacuum actuated IMRC is commanded closed, but the IMRC monitor indicates open.","[' IMRC monitor signal circuit shorted to PWR GND or SIG RTN', ' Damaged IMRC solenoid ', ' Blocked vacuum hoses']", Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
279,P1548 ," Engine Air Filter Restriction
","   The powertrain control module (PCM) monitors the manifold absolute pressure (MAP) at   various engine speeds during wide open throttle (WOT) operation, and compares the   information to a calibrated value. If the air flow is out of range, the DTC is set.","[' Intake air restriction', ' Clogged air filter']"," If this DTC is set, inspect the intake air system and replace the air filter if no obstructionsare found."
280,P1549 ," Intake Manifold Communication Control (IMCC) Circuit (Bank 1)
",   The IMCC or intake manifold tuning (IMTV) system is monitored for failure during   continuous or key on engine off (KOEO) self-test. The test fails when the powertrain   control module (PCM) detects a concern with the IMTV output circuit.,"['Open IMTV circuit', 'Open VPWR circuit ', 'Shorted IMTV circuit ', 'Damaged IMTV']", An IMTV fault PID (IMTVF) displaying YES may indicate a fault.
281,P1550 , Power Steering Pressure (PSP) Sensor Out of Self,   The PSP sensor input signal to the powertrain control module (PCM) is continuously   monitored. The test fails when the signal falls out of a maximum or minimum calibrated   range.,"[' Steering wheel not turned during self-test. ', ' PSP sensor or circuit damaged', ' Power steering concern']", The DTC indicates the PSP sensor is out of self-test range.
282,P1565 ," Speed Control Command Switch Out Of Range High
",,[], 
283,P1566 ," Speed Control Command Switch Out Of Range Low
",,[], 
284,P1567 ," Speed Control Output Circuit
",,[], 
285,P1568 ," Speed Control Unable to Hold Speed
",,[], 
286,P1572 ," Brake Pedal Switch Circuit
"," Indicates the brake input rationality test for brake pedal position (BPP) and brake pressure switch (BPS) has failed. One or both inputs to the powertrain control module (PCM) did not change state when expected. On some vehicles with stability assist, the BPP switch is connected to the anti-lock brake system (ABS) module and the ABS generates a driver brake application (DBA) signal, which is then sent to the PCM.","[' Misadjusted brake switches, BPP or BPS', ' Blown fuse ', ' Damaged BPP switch ', ' Damaged BPS switch ', ' Open or short in the BPP circuit ', ' Open or short in the DBA circuit ', ' Open or short in the BPS circuit']", DTC P1572 is set when the PCM does not sense the proper sequence of the brake pedalinput signal from both the BPP and BPS switches when the brake pedal is pressed and released.
287,P1582 ," Electronic Throttle Monitor Data Available
","Indicates the actuation of restraint deployment, and the availability of electronic throttlemonitor data.",[],"This DTC indicates the actuation of the restraint deployment system. Do not install a new powertrain control module (PCM), because there is no concern indicated."
288,P1633 ," Keep Alive Power (KAPWR) Voltage Too Low
", Indicates the KAPWR circuit has experienced a voltage interrupt.,"[' Open KAPWR circuit', ' Intermittent KAPWR']",Loss of KAPWR to the powertrain control module (PCM) results in immediate malfunction indicator lamp (MIL) illumination and DTC P1633.
289,P1635 ," Tire/Axle Ratio Out of Acceptable Range
",This DTC indicates the tire and axle information contained in the vehicle ID block (VID)does not match the vehicle hardware.,"['Incorrect tire size ', 'Incorrect axle ratio', 'Incorrect VID configuration parameters']","Using the scan tool, view the tire and axle parameters within the VID. They must match the vehicle hardware."
290,P1636 ," Inductive Signature Chip Communication Error
",   Indicates the powertrain control module (PCM) has lost communication with the inductive   signature chip.,[' Damaged PCM'],
291,P1639 ," Vehicle ID (VID) Block Corrupted, Not Programmed
",This DTC indicates the VID block is not programmed or the information within is corrupt.,"[' New powertrain control module (PCM) ', 'Incorrect PCM', 'Incorrect VID configuration']",Program the PCM to the most recent calibration available.
292,P1640 ," Powertrain DTCs Available in Another Module
", Vehicles using a secondary engine control module can request that the powertrain control module (PCM) illuminates the malfunction indicator lamp (MIL) when a failure occurs which affects emissions.,"[' DTCs stored in a secondary module, which requested the MIL to be turned on']",
293,P1641 ," Fuel Pump Primary Circuit
For Vehicles Equipped With a FPDM
",  See the description for DTC P1235/P1236.,[' See the possible causes for DTC P1235/P1236.'], See the diagnostic aids for DTC P1235/P1236.For All Others
294,P1650 , Power Steering Pressure (PSP) Switch Out of Self,"   In the key on engine off (KOEO) self-test, this DTC indicates the PSP input to the   powertrain control module (PCM) is high. In the key on engine running (KOER) self-test,   this DTC indicates the PSP input did not change state.","[' The steering wheel must be turned during KOER self-test', ' PSP switch/shorting bar damaged ', ' SIG RTN circuit open ', ' PSP circuit open or shorted to SIGRTN']", Check if the vehicle was towed or a power steering repair was carried out.Observe the PSP V PID while checking the wires for intermittent concerns.
295,P1651 ," Power Steering Pressure (PSP) Switch Input
","   The powertrain control module (PCM) counts the number of vehicle speed transitions from   0 to a calibrated speed. After a calibrated number of speed transitions, the PCM expects   the PSP input to change. This DTC is set if the transition is not detected.","[' Vehicle towed with the engine running', ' The power steering hydraulic concern was repaired but the DTC was not erased ', ' PSP switch/shorting bar damaged ', ' SIG RTN circuit open ', ' PSP circuit open or shorted to SIGRTN']", Check if the vehicle was towed or a power steering repair was carried out.Observe the PSP V PID while checking the wires for intermittent concerns.
296,P1674 ," Control Module Software Corrupted
", Indicates an error occurred in the powertrain control module (PCM). This DTC is set in combination with P2105.,"[' Software incompatibility issue', ' Damaged PCM']", Verify the PCM is at the latest calibration level.
297,P1703 , Brake Switch Out of Self," Indicates that during the key on engine off (KOEO) self-test, the brake pedal position (BPP) signal was high, or during the key on engine running (KOER) self-test, the BPP signal did not cycle high and low.","['Open or short in the BPP circuit ', 'Open or short in the stoplamp circuits ', 'Concern in module(s) connected to the BPP circuit ', 'Damaged brake switch ', 'Misadjusted brake switch']","Check for correct function of the stoplamps. Using the scan tool, check the BPP PID. The stoplamps and PID should toggle on and off with brake pedal activation."
298,P1705 , Transmission Range Sensor Out of Self, The transmission range circuit is not indicating PARK/NEUTRAL during self-test.,['Gear selector not in PARK/NEUTRAL'],Verify the gear selector is in PARK/NEUTRAL.
299,P1709 , Park/Neutral Position (PNP) Switch Out of Self,  This DTC indicates that the voltage is high when it should be low.,"[' PNP/CPP circuit short to PWR ', ' Damaged PNP or CPP switch', ' PNP/CPP circuit open in the SIGRTN']","When activating either the PNP or CPP switch, the voltage should cycle from 5 volts to low."
300,P1729 ," 4x4L Switch
","   The 4x4L switch is an on/off switch. If the powertrain control module (PCM) does not   sense appropriate voltage when the switch is cycled on and off, a DTC sets for mechanical   shift on the fly systems.","['The 4x4L harness between the PCM and the 4x4L switch is open or shorted', 'Damaged 4x4L switch']", Verify the 4x4L switch cycles on/off.
301,P1780 , Transmission Control Switch (TCS) Out of Self,"   During key on engine running (KOER) self-test the TCS must be cycled, or a DTC is   set.","[' TCS not cycled during the self-test. ', ' TCS circuit short or open', ' Damaged TCS switch']",Verify the TCS switch cycles on/off.
302,P1781 , 4x4L Switch Out of Self,"   The 4x4L switch is an on/off switch. If the powertrain control module (PCM) does not   sense low voltage when the switch is on, the DTC sets.","['4x4L harness open or shorted', 'Damaged electronic shift module']", Verify the 4x4L switch cycles on/off.
303,P17xx ,"
",,[], 
304,P18xx ,"
",,[], 
305,P1900 ," Output Shaft Speed (OSS) Sensor Circuit Intermittent
",   The OSS sensor signal to the powertrain control module (PCM) is irregular or   interrupted.,"[' Harness connector not properly seated ', ' Harness intermittently shorted or open ', ' Harness connector damaged ', ' OSS sensor damaged, or not installed properly']", Verify harness and connector integrity.Verify proper installation of the OSS sensor.
306,P1901 ," Turbine Shaft Speed (TSS) Sensor Circuit Intermittent
",   The TSS sensor signal to the powertrain control module (PCM) is irregular or   interrupted.,"[' Harness connector not properly seated', ' Harness intermittently shorted or open ', ' Harness connector damaged ', ' TSS sensor damaged or not installed properly']",Verify harness and connector integrity. Verify proper installation of the TSS sensor.
307,P2004 ," Intake Manifold Runner Control (IMRC) Stuck Open (Bank 1)
"," This DTC is set when the IMRC is commanded closed, but the IMRC monitor indicates open. This DTC replaces P1518 and P1537.","[' IMRC monitor signal circuit shorted to PWR GND or SIG RTN', ' Damaged IMRC actuator or solenoid ', ' Blocked vacuum hoses']", Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
308,P2005 ," Intake Manifold Runner Control (IMRC) Stuck Open (Bank 2)
","This DTC is set when the IMRC is commanded closed, but the IMRC monitor indicatesopen. This DTC replaces P1538.","[' IMRC monitor signal circuit shorted to PWR GND or SIG RTN ', ' Damaged IMRC actuator or solenoid', ' Damaged PCM', ' Blocked vacuum hoses']",An IMRCM PID reading near approximately 1 volt at closed throttle may indicate a fault.
309,P2006 ," Intake Manifold Runner Control (IMRC) Stuck Closed (Bank 1)
","   This DTC is set when the IMRC is commanded open, but the IMRC monitor indicates   closed. This DTC replaces P1512 and P1519.","['IMRC monitor circuit open', 'IMRC control circuit open ', 'IMRC monitor circuit short to VREF ', 'Damaged IMRC actuator or solenoid']", Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
310,P2007 ," Intake Manifold Runner Control (IMRC) Stuck Closed (Bank 2)
","This DTC is set when the IMRC is commanded open, but the IMRC monitor indicatesclosed. This DTC replaces P1513.","[' IMRC monitor circuit open ', ' IMRC control circuit open', ' IMRC monitor circuit short to VREF', ' Damaged IMRC actuator or solenoid']",Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
311,P2008 ," Intake Manifold Runner Control (IMRC) Circuit Open (Bank 1)
", This DTC indicates a failure in the IMRC primary control circuit. This DTC replaces P1520.,[' IMRC control circuit open'], Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
312,P2014 ," Intake Manifold Runner Position Sensor/Switch Circuit (Bank 1)
", The intake manifold runner control (IMRC) system is monitored for failure during continuous or key on engine off (KOEO) self-test. Each DTC distinguishes the corresponding failed bank for IMRC actuator assemblies with dual monitor switches. The test fails when the signal on the monitor pin is outside an expected calibrated range. This DTC replaces P1516.,"['IMRC monitor circuit open ', 'Mechanical concern - bind, seize, damage or obstruction of IMRC hardware']", Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
313,P2015 ," Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance (Bank 1)
",   The intake manifold runner control (IMRC) system is monitored for failures. Each DTC   distinguishes the corresponding failed bank. The test fails when the system detects the   presence of a broken or persistently out of range linkage.,"['Mechanical concern - bind, seize, damage, or obstruction of IMRC hardware']",
314,P2019 ," Intake Manifold Runner Position Sensor/Switch Circuit (Bank 2)
", The intake manifold runner control (IMRC) system is monitored for failure during continuous or key on engine off (KOEO) self-test. Each DTC distinguishes the corresponding failed bank for IMRC actuator assemblies with dual monitor switches. The test fails when the signal on the monitor pin is outside an expected calibrated range. This DTC replaces P1517.,"['IMRC monitor circuit open', 'Mechanical concern - bind, seize, damage or obstruction of IMRC hardware']", Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC iscommanded open or closed.
315,P2020 ," Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance
(Bank 2)
",See the description for DTC P2015.,['See the possible causes for DTC P2015.'], 
316,P2065 ," Fuel Level Sensor B Circuit
",   Fuel level information is sent to the powertrain control module (PCM) on the   communication link.,"['Communication link concern', 'Damaged instrument cluster ', 'Damaged smart junction box (SJB) ', 'Damaged PCM']"," Refer to the Workshop Manual Section 413-01, Instrument Cluster for fuel levelindicator diagnosis."
317,P2066 ," Fuel Level Sensor B Circuit Range/Performance
", See the description for DTC P2065.,[' See the possible causes for DTC P2065.'], See the diagnostic aids for DTC P2065.
318,P2067 ," Fuel Level Sensor B Circuit Low
", See the description for DTC P2065.,[' See the possible causes for DTC P2065.'], See the diagnostic aids for DTC P2065.
319,P2068 ," Fuel Level Sensor B Circuit High
", See the description for DTC P2065.,[' See the possible causes for DTC P2065.'], See the diagnostic aids for DTC P2065.
320,P2070 ," Intake Manifold Tuning Valve (IMTV) Stuck Open Bank 1
","   The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or   key on engine running (KOER) self-tests. The test fails when the signal is more or less   than an expected calibrated range.","[' IMTV signal circuit shorted to PWR GND or SIG RTN ', ' Damaged IMRC actuator']", An IMTVM PID reading may indicate a fault.
321,P2071 ," Intake Manifold Tuning Valve (IMTV) Stuck Closed Bank 1
","   The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or   key on engine running (KOER) self-tests. The test fails when the signal is more or less   than an expected calibrated range.","[' IMTV signal circuit shorted to PWR GND or SIG RTN ', ' Damaged IMRC actuator', ' IMTV circuit open']", An IMTVM PID reading may indicate a fault.
322,P2072 , Throttle Actuator Control (TAC) System ," This DTC only identifies that the strategy has carried out several open and close cycles to remove potential ice build up. This DTC does not imply any system concerns, only that the mode has occurred, and that mode may be causing a long start time.",[' Ice or oil in the intake air system could be the result of a positive crankcaseventilation (PCV) system concern']," Check the PCV system for evidence of water or ice. Disconnect the intake air fresh airplenum from the throttle body. Check for water or oily residue at the PCV fresh air port. Disconnect the tube at the valve cover and check the tube for ice obstruction/ice. Start the engine and, to check the PCV system, place a piece of cardboard on the crankcase vent in the rocker cover. If the cardboard is held on the crankcase vent and fumes are not exiting, reconnect the tube to the valve cover and the intake air port. If the test passes, the PCV system is OK. If the cardboard is not held in place, turn off the engine and check the PCV valve side of the system for ice or obstruction and repair as necessary. If no obstruction is found there, isolate and repair any obstruction in the intake manifold connection. If no obstruction is found there, make sure the PCV coolant heater is functional and repair as necessary. If no concern is present, make sure the PCV valve is allowing the proper vacuum flow and repair as necessary."
323,P2100 ," Throttle Actuator Control (TAC) Motor Circuit/Open
",  A powertrain control module (PCM) fault flag is set indicating the motor circuit is open.  May require cycling the key.,"[' TAC motor has an open winding ', ' TAC motor is damaged', ' TAC motor harness is open', ' TAC motor harness is short to PWR', ' TAC motor harness circuits are short together', ' TAC motor harness connector is unplugged']","A TAC motor circuit PID reading may indicate a concern, if available."
324,P2101 ," Throttle Actuator Control (TAC) Motor Range/Performance
","A powertrain control module (PCM) fault flag is set indicating the motor circuit is open,and may require cycling the key.",[' TAC motor circuits are cross-wired'],"A TAC motor circuit PID reading may indicate a concern, if available."
325,P2104 , Throttle Actuator Control (TAC) System ,   The TAC system is in the failure mode effects management (FMEM) mode of forced idle.,[], This DTC is an informational DTC and may be set in combination with a number of otherDTCs which are causing the FMEM. Diagnose other DTCs first.
326,P2105 , Throttle Actuator Control (TAC) System ,   The TAC system is in the failure mode effects management (FMEM) mode of forced   engine shutdown.,[], This DTC is an informational DTC and may be set in combination with a number of otherDTCs which are causing the FMEM. Diagnose other DTCs first.
327,P2106 , Throttle Actuator Control (TAC) System ,   The TAC system is in the failure mode effects management (FMEM) mode of forced   limited power. This DTC indicates the FMEM action is in effect due to a concern in an   electronic throttle control (ETC) related component or module.,[], This DTC is an informational DTC and may be set in combination with a number of otherDTCs which are causing the FMEM. Diagnose other DTCs first. Do not install a new electronic throttle body (ETB) for this DTC.
328,P2107 ," Throttle Actuator Control (TAC) Module Processor
","   The electronic throttle control (ETC) area of the powertrain control module (PCM) failed the   self-test. The concern could be the result of an incorrect throttle position (TP) command, or   TAC motor wires shorted together.","['TAC motor wire shorted together', 'TAC motor circuit wires short to PWR ', 'Damaged electronic throttle body (ETB) ', 'Damaged PCM']"," A TAC motor circuit PID reading may indicate a concern, if available."
329,P2110 , Throttle Actuator Control (TAC) System ,The TAC system is in the failure mode effects management (FMEM) mode of forcedlimited RPM.,[],This DTC is an informational DTC and may be set in combination with a number of other DTCs which are causing the FMEM. Diagnose other DTCs first.
330,P2111 , Throttle Actuator Control (TAC) System ,This powertrain control module (PCM) fault status indicates the throttle plate is at agreater angle than commanded.,"[' Binding throttle body, stuck open', ' TAC motor circuits are cross-wired ', ' TAC motor harness circuits are shorted together ', ' Damaged PCM']",
331,P2112 , Throttle Actuator Control (TAC) System ,This powertrain control module (PCM) fault status indicates the throttle plate is at a lowerangle than commanded.,"[' Binding throttle body, stuck closed', ' Damaged PCM']",
332,P2121 ," Throttle/Pedal Position Sensor/Switch D Circuit Range/Performance
","   The accelerator pedal position (APP) sensor fault flag is set for sensor 1 by the powertrain   control module (PCM), indicating the signal is out of the normal self-test operating range.","[' APP sensor 1 is open, or short to ground or voltage', ' APP sensor signal circuits are short together ', ' Damaged APP sensor ', ' Damaged PCM']", An APP1 sensor PID reading may indicate a concern.
333,P2122 ," Throttle/Pedal Position Sensor/Switch D Circuit Low
",   The accelerator pedal position (APP) sensor 1 is out of self-test range low.,"[' APP sensor harness short to ground', ' Damaged APP sensor']",An APP1 sensor PID reading may indicate a concern.
334,P2123 ," Throttle/Pedal Position Sensor/Switch D Circuit High
",   The accelerator pedal position (APP) sensor 1 is out of self-test range high.,"[' APP sensor harness open', ' APP sensor harness is short to VREF', ' Damaged APP sensor']",An APP1 sensor PID reading may indicate a concern.
335,P2126 ," Throttle/Pedal Position Sensor/Switch E Circuit Range/Performance
","   The accelerator pedal position (APP) sensor fault flag is set for sensor 2 by the powertrain   control module (PCM), indicating the signal is out of the normal self-test operating range.","[' APP sensor assembly is binding', ' Damaged APP sensor ', ' Damaged PCM']", An APP2 sensor PID reading may indicate a concern.
336,P2127 ," Throttle/Pedal Position Sensor/Switch E Circuit Low
",   The accelerator pedal position (APP) sensor 2 is out of self-test range low.,"[' APP sensor circuit is short to ground', ' APP sensor circuit is open', ' Damaged APP sensor']",An APP2 sensor PID reading may indicate a concern.
337,P2128 ," Throttle/Pedal Position Sensor/Switch E Circuit High
",   The accelerator pedal position (APP) sensor 2 is out of self-test range high.,"[' APP sensor assembly is binding', ' APP sensor harness is short to voltage', ' Damaged APP sensor']",An APP2 sensor PID reading may indicate a concern.
338,P2131 ," Throttle/Pedal Position Sensor/Switch F Circuit Range/Performance
","   The accelerator pedal position (APP) sensor fault flag is set for sensor 3 by the powertrain   control module (PCM), indicating the signal is out of the normal self-test operating range.","[' APP sensor assembly is binding', ' Damaged APP sensor ', ' Damaged PCM']", An APP3 sensor PID reading may indicate a concern.
339,P2132 ," Throttle/Pedal Position Sensor/Switch F Circuit Low
",   The accelerator pedal position (APP) sensor 3 is out of self-test range low.,"[' APP sensor assembly is binding', ' APP sensor harness short to ground', ' Damaged APP sensor']",An APP3 sensor PID reading may indicate a concern.
340,P2133 ," Throttle/Pedal Position Sensor/Switch F Circuit High
",   The accelerator pedal position (APP) sensor 3 is out of self-test range high.,"[' APP sensor assembly is binding', ' APP sensor harness is short to voltage', ' Damaged APP sensor']",An APP3 sensor PID reading may indicate a concern.
341,P2135 ," Throttle/Pedal Position Sensor/Switch A/B Voltage Correlation
",   The powertrain control module (PCM) flagged a concern indicating that throttle position   (TP) 1 and TP2 disagree by more than a calibrated limit.,"[' TP sensor shorted internally to VREF', ' TP sensor harness is short to voltage ', ' TP sensor signal wires are short together ', ' Damaged TP sensor']"," Compare the TP1 and TP2 PID values for a full sweep and correlation. Refer to the chartin pinpoint test DV. GO to Pinpoint Test DV . Check the wiring harness for an open or a short circuit. Check the TP sensor for an internal open or short circuit. If no circuit concerns are present, install a new TP sensor."
342,P2195 , O2 Sensor Signal Biased/Stuck Lean ,   A heated oxygen sensor (HO2S) indicating lean at the end of a test is trying to correct for   an over-rich condition. The test fails when the fuel control system no longer detects   switching for a calibrated amount of time.,"[' Electrical: ', ' Short to VPWR in the harness or HO2S ', ' Water in the harness connector ', ' Open/shorted HO2S circuit ', ' Corrosion or incorrect harness connections ', ' Damaged HO2S ', ' Damaged powertrain control module (PCM) Fuel System: ', ' Excessive fuel pressure ', ' Leaking/contaminated fuel injectors ', ' Leaking fuel pressure regulator ', ' Low fuel pressure or running out of fuel ', ' Vapor recovery system Intake Air System: ', ' Air leaks after the mass air flow (MAF) sensor ', ' Vacuum leaks ', ' Positive crankcase ventilation (PCV) system ', ' Improperly seated engine oil dipstick EGR System: ', ' Leaking gasket ', ' Stuck EGR valve ', ' Leaking diaphragm or EGR vacuum regulator Base Engine: ', ' Oil overfill ', ' Camshaft timing ', ' Cylinder compression ', 'Exhaust leaks before or near the HO2S(s)']",
343,P2196 , O2 Sensor Signal Biased/Stuck Rich ,   A heated oxygen sensor (HO2S) indicating rich at the end of a test is trying to correct for   an over-lean condition. The test fails when the fuel control system no longer detects   switching for a calibrated amount of time.,[' See the possible causes for DTC P2195.'],
344,P2197 , O2 Sensor Signal Biased/Stuck Lean ,   See the description for DTC P2195.,['See the possible causes for DTC P2195.'], 
345,P2198 , O2 Sensor Signal Biased/Stuck Rich ,   See the description for DTC P2196.,['See the possible causes for DTC P2195.'], 
346,P2257 ," Secondary Air Injection (AIR) System Control A Circuit Low
","   The AIR system monitor circuit is low, indicating the secondary AIR pump is off although   the secondary AIR pump was commanded on by the powertrain control module (PCM).","['Open B+ circuit', 'Open VPWR circuit ', 'Open voltage circuit between the AIR relay and the secondary AIR pump ', 'Damaged AIR relay']"," The AIR monitor circuit PCM input contains a pull up voltage through a resistance internalto the PCM. This voltage is normally held low by the resistance path through the secondary AIR pump when the secondary AIR pump is off. A single electrical open circuit component such as an AIR relay coil in this multi- component circuit is not detected by the PCM output driver, yet it sets DTC P2257."
347,P2258 ," Secondary Air Injection (AIR) System Control A Circuit High
","   The AIR system monitor circuit is high, indicating the secondary AIR pump is on although   the secondary AIR pump was commanded off by the powertrain control module (PCM).","['AIR relay fault - stuck closed', 'Secondary AIR pump fault - circuit open in motor ', 'Open ground to secondary AIR pump ', 'Open AIR monitor circuit between the secondary AIR pump and the PCM ', 'Short to voltage in the AIR relay to secondary AIR pump voltage circuit']", The AIR monitor circuit PCM input contains a pull up voltage through a resistance internalto the PCM. This voltage is normally held low by the resistance path through the secondary AIR pump when the secondary AIR pump is off.
348,P2270 , O2 Sensor Signal Stuck Lean ,   The downstream heated oxygen sensor (HO2S) is forced rich and lean and monitored by   the powertrain control module (PCM). The test fails if the PCM does not detect the output   of the HO2S in a calibrated amount of time.,"[' Pinched, shorted, and corroded wiring and pins', ' Crossed HO2S wires ', ' Exhaust leaks ', ' Contaminated or damaged HO2S']",
349,P2271 , O2 Sensor Signal Stuck Rich ,   See the description for DTC P2270.,['See the possible causes for DTC P2270.'], 
350,P2272 , O2 Sensor Signal Stuck Lean ,   See the description for DTC P2270.,['See the possible causes for DTC P2270.'], 
351,P2273 , O2 Sensor Signal Stuck Rich ,   See the description for DTC P2270.,['See the possible causes for DTC P2270.'], 
352,P2274 , O2 Sensor Signal Stuck Lean ,   See the description for DTC P2270.,['See the possible causes for DTC P2270.'], 
353,P2275 , O2 Sensor Signal Stuck Rich ,   See the description for DTC P2270.,['See the possible causes for DTC P2270.'], 
354,P2448 ," Secondary Air Injection System High Airflow (Bank 1)
",The secondary AIR system detects excessive mass air flow change with the pump ONand a rich exhaust system air fuel ratio.,"[' Secondary AIR outlet hose leak. ', ' Secondary AIR outlet hose is disconnected.']",Measured air flow is less than expected. Visually inspect the secondary AIR inlet hose.
355,P260F ," Evaporative System Monitoring Processor Performance
",   This DTC sets when a concern is detected internal to the powertrain control module   (PCM). The microprocessor that controls the engine off natural vacuum (EONV) leak check   monitor is separate from the main processor within the PCM.,"['Module communications network concerns', 'PCM calibration level ', 'Damaged PCM']", Verify the PCM is at the latest calibration level. Reprogram if necessary.
